studentID,studentGPA,studentPriority,studentESL,studentAvoid1,assignment,studentChoice1,studentChoice2,studentChoice3,studentChoice4,studentChoice5
90965,3.10,,,,,22,24,7,3,24
86378,3.90,,,,,15,9,22,30,8
48389,3.10,1,,,,2,3,26,19,17
21498,4.00,,,,,11,6,15,11,15
38686,2.50,,1,,,17,8,4,11,15
69297,3.10,,,,,14,15,15,27,28
59427,3.60,,,,,25,29,22,15,15
23017,4.00,,,,,20,26,2,15,13
11577,2.60,,,,,29,30,8,1,7
76057,3.90,,,,,10,6,15,27,14
79890,4.00,,,,,29,19,22,5,19
64226,3.70,,1,,,23,25,22,29,25
74492,3.10,,,,,8,13,17,8,1
92897,3.30,,,,,7,13,18,29,16
38424,4.00,,1,,,28,5,2,28,4
95770,3.80,,,,,29,28,16,14,13
44722,3.50,,,,,27,19,29,14,20
12745,3.30,,,,,8,17,6,5,14
25789,3.10,,,,,24,21,2,16,1
73660,2.50,1,,,,29,8,30,5,21
10728,2.60,,,,,26,27,8,21,17
33025,3.90,,1,,,4,30,27,9,30
89474,2.70,,,,,17,11,2,19,21
63342,2.90,,,,,18,24,29,2,21
40567,3.60,,,,,25,25,15,20,5
52845,3.40,,,,,26,21,22,16,4
94239,3.00,,,,,24,26,24,4,11
58442,2.50,,,,,10,7,14,10,17
63890,3.70,,1,,,19,12,15,23,6
11942,2.70,,,,,26,30,1,2,21
28120,2.50,,,,,12,16,14,11,11
36889,3.10,,1,,,13,26,21,1,19
66951,2.90,,,,,11,14,13,15,5
67448,2.70,,,,,5,12,19,18,16
14328,2.80,,,,,12,22,29,7,23
86866,3.10,,,,,24,23,17,25,20
65249,3.50,1,,,,9,9,2,7,26
38344,2.80,,,,,7,19,25,30,10
59995,3.70,,1,,,24,4,12,11,5
89624,3.20,,,,,5,22,2,5,11
59496,3.60,,,,,28,12,11,29,2
79291,3.00,,,,,16,15,7,6,8
27810,3.30,,,,,4,25,4,1,24
94312,3.20,,,,,5,19,4,10,5
73182,2.50,,,,,25,1,28,8,19
41054,2.60,,1,,,17,20,7,18,20
19194,3.90,,,,,12,3,19,26,7
72401,3.50,,,,,19,15,24,29,19
79346,3.40,,1,,,20,8,5,3,14
31409,3.80,,,,,1,28,26,22,26
