studentID,studentGPA,studentPriority,studentESL,studentAvoid1,assignment,studentChoice1,studentChoice2,studentChoice3,studentChoice4,studentChoice5
90965,3.10,,,,,1,2,3,4,5
86378,3.90,,,,,2,5,4,3,1
48389,3.10,1,,,,2,1,4,3,5
21498,4.00,,,,,2,4,5,1,3
38686,2.50,,1,,,1,2,4,3,5
69297,3.10,,,,,1,4,2,5,3
59427,3.60,,,,,4,2,1,5,3
23017,4.00,,,,,5,4,3,2,1
11577,2.60,,,,,5,1,2,3,4
76057,3.90,,,,,1,3,4,2,5
79890,4.00,,,,,4,2,3,5,1
64226,3.70,,1,,,5,1,3,2,4
74492,3.10,,,,,3,2,1,4,5
92897,3.30,,,,,3,4,5,1,2
38424,4.00,,1,,,3,5,2,4,1
95770,3.80,,,,,2,5,1,4,3
44722,3.50,,,,,1,2,3,5,4
12745,3.30,,,,,1,2,3,4,5
25789,3.10,,,,,2,5,4,3,1
73660,2.50,1,,,,2,1,4,3,5
10728,2.60,,,,,2,4,5,1,3
33025,3.90,,1,,,1,2,4,3,5
89474,2.70,,,,,1,4,2,5,3
63342,2.90,,,,,4,2,1,5,3
40567,3.60,,,,,5,4,3,2,1
52845,3.40,,,,,5,1,2,3,4
94239,3.00,,,,,1,3,4,2,5
58442,2.50,,,,,4,2,3,5,1
63890,3.70,,1,,,5,1,3,2,4
11942,2.70,,,,,3,2,1,4,5
28120,2.50,,,,,3,4,5,1,2
36889,3.10,,1,,,3,5,2,4,1
66951,2.90,,,,,2,5,1,4,3
67448,2.70,,,,,1,2,3,5,4
14328,2.80,,,,,1,2,3,4,5
86866,3.10,,,,,2,5,4,3,1
65249,3.50,1,,,,2,1,4,3,5
38344,2.80,,,,,2,4,5,1,3
59995,3.70,,1,,,1,2,4,3,5
89624,3.20,,,,,1,4,2,5,3
59496,3.60,,,,,4,2,1,5,3
79291,3.00,,,,,5,4,3,2,1
27810,3.30,,,,,5,1,2,3,4
94312,3.20,,,,,1,3,4,2,5
73182,2.50,,,,,4,2,3,5,1
41054,2.60,,1,,,5,1,3,2,4
19194,3.90,,,,,3,2,1,4,5
72401,3.50,,,,,3,4,5,1,2
79346,3.40,,1,,,3,5,2,4,1
31409,3.80,,,,,2,5,1,4,3
33134,2.70,,,,,1,2,3,5,4
67358,3.00,,,,,1,2,3,4,5
80482,2.90,,,,,2,5,4,3,1
21560,3.30,1,,,,2,1,4,3,5
47074,3.10,,,,,2,4,5,1,3
62940,3.30,,1,,,1,2,4,3,5
78445,3.10,,,,,1,4,2,5,3
17328,3.40,,,,,4,2,1,5,3
75770,4.00,,,,,5,4,3,2,1
63571,3.70,,,,,5,1,2,3,4
43924,3.50,,,,,1,3,4,2,5
41974,3.30,,,,,4,2,3,5,1
80767,3.50,,1,,,5,1,3,2,4
62751,2.80,,,,,3,2,1,4,5
78269,3.00,,,,,3,4,5,1,2
45977,3.00,,1,,,3,5,2,4,1
14495,3.70,,,,,2,5,1,4,3
87616,3.90,,,,,1,2,3,5,4
69735,2.50,,,,,1,2,3,4,5
29032,3.80,,,,,2,5,4,3,1
32069,2.90,1,,,,2,1,4,3,5
83806,3.10,,,,,2,4,5,1,3
87001,3.60,,1,,,1,2,4,3,5
40358,2.70,,,,,1,4,2,5,3
30348,3.10,,,,,4,2,1,5,3
91212,3.60,,,,,5,4,3,2,1
94702,3.70,,,,,5,1,2,3,4
33523,3.40,,,,,1,3,4,2,5
91122,3.50,,,,,4,2,3,5,1
53883,2.70,,1,,,5,1,3,2,4
22248,2.50,,,,,3,2,1,4,5
87348,3.30,,,,,3,4,5,1,2
65165,2.50,,1,,,3,5,2,4,1
87909,2.80,,,,,2,5,1,4,3
56153,2.70,,,,,1,2,3,5,4
93768,3.00,,,,,1,2,3,4,5
40882,3.30,,,,,2,5,4,3,1
12599,3.90,1,,,,2,1,4,3,5
93971,3.70,,,,,2,4,5,1,3
59180,3.30,,1,,,1,2,4,3,5
63380,3.20,,,,,1,4,2,5,3
52391,3.30,,,,,4,2,1,5,3
94834,3.00,,,,,5,4,3,2,1
65241,2.60,,,,,5,1,2,3,4
65376,2.90,,,,,1,3,4,2,5
47760,3.60,,,,,4,2,3,5,1
98423,2.60,,1,,,5,1,3,2,4
58745,3.20,,,,,3,2,1,4,5
60653,2.90,,,,,3,4,5,1,2
34157,2.50,,1,,,3,5,2,4,1
